month,level_1,level_2,value
1964-06,All Items,Health Care,18.604
1964-06,All Items,Transport,20.608
1964-06,All Items,Communication,89.155
1964-06,All Items,Recreation & Culture,49.124
1964-06,All Items,Education,15.578
1964-06,All Items,Miscellaneous Goods & Services,18.553
1964-07,All Items,Food,22.813
1964-07,All Items,Food Excl Food Serving Services,na
1964-07,All Items,Food Serving Services,na
1964-07,All Items,Clothing & Footwear,53.751
1964-07,All Items,Housing & Utilities,27.05
1964-07,All Items,Household Durables & Services,31.548
1964-07,All Items,Health Care,18.604
1964-07,All Items,Transport,20.608
1964-07,All Items,Communication,89.155
1964-07,All Items,Recreation & Culture,49.124
1964-07,All Items,Education,15.578
1964-07,All Items,Miscellaneous Goods & Services,18.556
1964-08,All Items,Food,23.393
1964-08,All Items,Food Excl Food Serving Services,na
1964-08,All Items,Food Serving Services,na
1964-08,All Items,Clothing & Footwear,53.693
1964-08,All Items,Housing & Utilities,27.41
1964-08,All Items,Household Durables & Services,31.659
1964-08,All Items,Health Care,18.604
1964-08,All Items,Transport,20.608
1964-08,All Items,Communication,89.155
1964-08,All Items,Recreation & Culture,49.124
1964-08,All Items,Education,15.578
1964-08,All Items,Miscellaneous Goods & Services,18.556
1964-09,All Items,Food,23.223
1964-09,All Items,Food Excl Food Serving Services,na
1964-09,All Items,Food Serving Services,na
1964-09,All Items,Clothing & Footwear,53.751
1964-09,All Items,Housing & Utilities,27.723
1964-09,All Items,Household Durables & Services,31.659
1964-09,All Items,Health Care,18.604
1964-09,All Items,Transport,20.608
1964-09,All Items,Communication,89.155
1964-09,All Items,Recreation & Culture,49.124
1964-09,All Items,Education,15.578
1964-09,All Items,Miscellaneous Goods & Services,18.556
1964-10,All Items,Food,22.95
1964-10,All Items,Food Excl Food Serving Services,na
1964-10,All Items,Food Serving Services,na
1964-10,All Items,Clothing & Footwear,53.751
1964-10,All Items,Housing & Utilities,27.836
1964-10,All Items,Household Durables & Services,31.659
1964-10,All Items,Health Care,18.604
1964-10,All Items,Transport,20.608
1964-10,All Items,Communication,89.155
1964-10,All Items,Recreation & Culture,49.124
1964-10,All Items,Education,15.578
1964-10,All Items,Miscellaneous Goods & Services,18.556
1964-11,All Items,Food,22.856
1964-11,All Items,Food Excl Food Serving Services,na
1964-11,All Items,Food Serving Services,na
1964-11,All Items,Clothing & Footwear,53.878
1964-11,All Items,Housing & Utilities,28.079
1964-11,All Items,Household Durables & Services,31.659
1964-11,All Items,Health Care,18.604
1964-11,All Items,Transport,20.608
1964-11,All Items,Communication,133.733
1964-11,All Items,Recreation & Culture,49.124
1964-11,All Items,Education,15.578
1964-11,All Items,Miscellaneous Goods & Services,18.556
1964-12,All Items,Food,23.183
1964-12,All Items,Food Excl Food Serving Services,na
1964-12,All Items,Food Serving Services,na
1964-12,All Items,Clothing & Footwear,53.927
1964-12,All Items,Housing & Utilities,28.079
1964-12,All Items,Household Durables & Services,31.647
1964-12,All Items,Health Care,18.604
1964-12,All Items,Transport,20.608
1964-12,All Items,Communication,133.733
1964-12,All Items,Recreation & Culture,49.124
1964-12,All Items,Education,15.578
1964-12,All Items,Miscellaneous Goods & Services,18.841
1965-01,All Items,Food,23.29
1965-01,All Items,Food Excl Food Serving Services,na
1965-01,All Items,Food Serving Services,na
1965-01,All Items,Clothing & Footwear,54.236
1965-01,All Items,Housing & Utilities,28.079
1965-01,All Items,Household Durables & Services,31.647
1965-01,All Items,Health Care,18.604
1965-01,All Items,Transport,20.608
1965-01,All Items,Communication,133.733
1965-01,All Items,Recreation & Culture,49.124
1965-01,All Items,Education,15.218
1965-01,All Items,Miscellaneous Goods & Services,18.838
1965-02,All Items,Food,23.162
1965-02,All Items,Food Excl Food Serving Services,na
1965-02,All Items,Food Serving Services,na
1965-02,All Items,Clothing & Footwear,54.236
1965-02,All Items,Housing & Utilities,28.079
1965-02,All Items,Household Durables & Services,31.647
1965-02,All Items,Health Care,18.604
1965-02,All Items,Transport,20.608
1965-02,All Items,Communication,133.733
1965-02,All Items,Recreation & Culture,49.124
1965-02,All Items,Education,15.218
1965-02,All Items,Miscellaneous Goods & Services,18.852
1965-03,All Items,Food,22.93
1965-03,All Items,Food Excl Food Serving Services,na
1965-03,All Items,Food Serving Services,na
1965-03,All Items,Clothing & Footwear,54.017
1965-03,All Items,Housing & Utilities,27.954
1965-03,All Items,Household Durables & Services,31.647
1965-03,All Items,Health Care,18.604
1965-03,All Items,Transport,20.608
1965-03,All Items,Communication,133.733
1965-03,All Items,Recreation & Culture,49.124
1965-03,All Items,Education,15.218
1965-03,All Items,Miscellaneous Goods & Services,18.854
1965-04,All Items,Food,22.345
1965-04,All Items,Food Excl Food Serving Services,na
1965-04,All Items,Food Serving Services,na
1965-04,All Items,Clothing & Footwear,54.075
1965-04,All Items,Housing & Utilities,27.954
1965-04,All Items,Household Durables & Services,31.904
1965-04,All Items,Health Care,18.604
1965-04,All Items,Transport,20.608
1965-04,All Items,Communication,133.733
1965-04,All Items,Recreation & Culture,49.124
1965-04,All Items,Education,15.218
1965-04,All Items,Miscellaneous Goods & Services,18.852
1965-05,All Items,Food,22.659
1965-05,All Items,Food Excl Food Serving Services,na
1965-05,All Items,Food Serving Services,na
1965-05,All Items,Clothing & Footwear,53.966
1965-05,All Items,Housing & Utilities,27.954
1965-05,All Items,Household Durables & Services,31.904
1965-05,All Items,Health Care,18.604
1965-05,All Items,Transport,20.608
1965-05,All Items,Communication,133.733
1965-05,All Items,Recreation & Culture,49.124
1965-05,All Items,Education,15.218
1965-05,All Items,Miscellaneous Goods & Services,18.848
1965-06,All Items,Food,22.812
1965-06,All Items,Food Excl Food Serving Services,na
1965-06,All Items,Food Serving Services,na
1965-06,All Items,Clothing & Footwear,53.908
1965-06,All Items,Housing & Utilities,27.92
1965-06,All Items,Household Durables & Services,31.904
1965-06,All Items,Health Care,18.604
1965-06,All Items,Transport,20.608
1965-06,All Items,Communication,133.733
1965-06,All Items,Recreation & Culture,49.124
1965-06,All Items,Education,15.218
1965-06,All Items,Miscellaneous Goods & Services,18.848
1965-07,All Items,Food,22.57
1965-07,All Items,Food Excl Food Serving Services,na
1965-07,All Items,Food Serving Services,na
1965-07,All Items,Clothing & Footwear,53.702
